"","x"
"182","Emissions|OC|Energy|Supply"
"183","Emissions|PFC"
"184","Emissions|SF6"
"185","Emissions|Sulfur"
"186","Emissions|Sulfur|AFOLU"
"187","Emissions|Sulfur|Energy"
"188","Emissions|Sulfur|Energy|Demand|Industry"
"189","Emissions|Sulfur|Energy|Demand|Building"
"190","Emissions|Sulfur|Energy|Demand|Transportation"
"191","Emissions|Sulfur|Energy|Supply"
"192","Emissions|VOC"
"193","Emissions|VOC|AFOLU"
"194","Emissions|VOC|Energy"
"195","Emissions|VOC|Energy|Demand|Industry"
"196","Emissions|VOC|Energy|Demand|Building"
"197","Emissions|VOC|Energy|Demand|Transportation"
"198","Emissions|VOC|Energy|Supply"
"199","Energy Service|Building|Floor Space"
"200","Energy Service|Building|Residential|Floor Space"
"201","Energy Service|Transportation|Freight"
"202","Energy Service|Transportation|Freight|International Shipping"
"203","Energy Service|Transportation|Freight|Navigation"
"204","Energy Service|Transportation|Freight|Railways"
"205","Energy Service|Transportation|Freight|Road"
"206","Energy Service|Transportation|Passenger"
"207","Energy Service|Transportation|Passenger|Aviation"
"208","Energy Service|Transportation|Passenger|Bicycling and Walking"
"209","Energy Service|Transportation|Passenger|Railways"
"210","Energy Service|Transportation|Passenger|Road"
"211","Energy Service|Transportation|Passenger|Road|LDV"
"212","Final Energy"
"213","Final Energy|Electricity"
"214","Final Energy|Gases"
"215","Final Energy|Heat"
"216","Final Energy|Hydrogen"
"217","Final Energy|Industry"
"218","Final Energy|Industry|Cement"
"219","Final Energy|Industry|Cement|Electricity"
"220","Final Energy|Industry|Cement|Gases"
"221","Final Energy|Industry|Chemicals"
"222","Final Energy|Industry|Chemicals|Ammonia"
"223","Final Energy|Industry|Chemicals|Ammonia|Gases"
"224","Final Energy|Industry|Chemicals|Ammonia|Hydrogen"
"225","Final Energy|Industry|Chemicals|Ammonia|Liquids"
"226","Final Energy|Industry|Chemicals|Electricity"
"227","Final Energy|Industry|Chemicals|Gases"
"228","Final Energy|Industry|Chemicals|Heat"
"229","Final Energy|Industry|Chemicals|Hydrogen"
"230","Final Energy|Industry|Chemicals|Liquids"
"231","Final Energy|Industry|Chemicals|Solids"
"232","Final Energy|Industry|Chemicals|Solids|Bioenergy"
"233","Final Energy|Industry|Chemicals|Solids|Fossil"
"234","Final Energy|Industry|Electricity"
"235","Final Energy|Industry|Gases"
"236","Final Energy|Industry|Heat"
"237","Final Energy|Industry|Hydrogen"
"238","Final Energy|Industry|Liquids"
"239","Final Energy|Industry|Non-ferrous metals"
"240","Final Energy|Industry|Non-ferrous metals|Electricity"
"241","Final Energy|Industry|Non-ferrous metals|Gases"
"242","Final Energy|Industry|Non-ferrous metals|Liquids"
"243","Final Energy|Industry|Non-ferrous metals|Solids"
"244","Final Energy|Industry|Non-ferrous metals|Solids|Bioenergy"
"245","Final Energy|Industry|Non-ferrous metals|Solids|Fossil"
"246","Final Energy|Industry|Solids"
"247","Final Energy|Industry|Solids|Biomass"
"248","Final Energy|Industry|Solids|Coal"
"249","Final Energy|Industry|Steel"
"250","Final Energy|Industry|Steel|Electricity"
"251","Final Energy|Industry|Steel|Hydrogen"
"252","Final Energy|Industry|Steel|Liquids"
"253","Final Energy|Industry|Steel|Solids"
"254","Final Energy|Industry|Steel|Solids|Bioenergy"
"255","Final Energy|Industry|Steel|Solids|Fossil"
"256","Final Energy|Liquids"
"257","Final Energy|Non-Energy Use"
"258","Final Energy|Non-Energy Use|Biomass"
"259","Final Energy|Non-Energy Use|Coal"
"260","Final Energy|Non-Energy Use|Gas"
"261","Final Energy|Non-Energy Use|Oil"
"262","Final Energy|Other Sector"
"263","Final Energy|Other Sector|Electricity"
"264","Final Energy|Building"
"265","Final Energy|Building|Commercial|Cooling"
"266","Final Energy|Building|Commercial|Electricity"
"267","Final Energy|Building|Commercial|Gases"
"268","Final Energy|Building|Commercial|Heat"
"269","Final Energy|Building|Commercial|Heating|Space"
"270","Final Energy|Building|Commercial|Hydrogen"
"271","Final Energy|Building|Commercial|Liquids"
"272","Final Energy|Building|Commercial|Solids"
"273","Final Energy|Building|Commercial|Solids|Biomass"
"274","Final Energy|Building|Commercial|Solids|Coal"
"275","Final Energy|Building|Cooling"
"276","Final Energy|Building|Electricity"
"277","Final Energy|Building|Gases"
"278","Final Energy|Building|Heat"
"279","Final Energy|Building|Heating|Space"
"280","Final Energy|Building|Hydrogen"
"281","Final Energy|Building|Liquids"
"282","Final Energy|Building|Residential|Cooling"
"283","Final Energy|Building|Residential|Electricity"
"284","Final Energy|Building|Residential|Gases"
"285","Final Energy|Building|Residential|Heat"
"286","Final Energy|Building|Residential|Heating|Space"
"287","Final Energy|Building|Residential|Hydrogen"
"288","Final Energy|Building|Residential|Liquids"
"289","Final Energy|Building|Solids"
"290","Final Energy|Building|Solids|Biomass"
"291","Final Energy|Building|Solids|Coal"
"292","Final Energy|Solids"
"293","Final Energy|Solids|Biomass"
"294","Final Energy|Solids|Coal"
"295","Final Energy|Transportation"
"296","Final Energy|Transportation|Aviation"
"297","Final Energy|Transportation|Aviation|Passenger"
"298","Final Energy|Transportation|Electricity"
"299","Final Energy|Transportation|Freight"
"300","Final Energy|Transportation|Freight|Electricity"
"301","Final Energy|Transportation|Freight|Hydrogen"
"302","Final Energy|Transportation|Freight|Liquids"
"303","Final Energy|Transportation|Freight|Other"
"304","Final Energy|Transportation|Gases"
"305","Final Energy|Transportation|Hydrogen"
"306","Final Energy|Transportation|Liquids"
"307","Final Energy|Transportation|Maritime"
"308","Final Energy|Transportation|Maritime|Freight"
"309","Final Energy|Transportation|Other"
"310","Final Energy|Transportation|Passenger"
"311","Final Energy|Transportation|Passenger|Electricity"
"312","Final Energy|Transportation|Passenger|Gases"
"313","Final Energy|Transportation|Passenger|Hydrogen"
"314","Final Energy|Transportation|Passenger|Liquids"
"315","Final Energy|Transportation|Rail"
"316","Final Energy|Transportation|Rail|Freight"
"317","Final Energy|Transportation|Rail|Passenger"
"318","Final Energy|Transportation|Road"
"319","Final Energy|Transportation|Road|Freight"
"320","Final Energy|Transportation|Road|Freight|Electric"
"321","Final Energy|Transportation|Road|Freight|FC"
"322","Final Energy|Transportation|Road|Passenger"
"323","Final Energy|Transportation|Road|Passenger|2W&3W"
"324","Final Energy|Transportation|Road|Passenger|Bus"
"325","Final Energy|Transportation|Road|Passenger|4W"
"326","Final Energy|Water"
"327","Final Energy|Water|Desalination"
"328","Final Energy|Water|Desalination|Electricity"
"329","Final Energy|Water|Desalination|Gases"
"330","Final Energy|Water|Desalination|Liquids"
"331","Final Energy|Water|Industry"
"332","Final Energy|Water|Industry|Electricity"
"333","Final Energy|Water|Irrigation"
"334","Final Energy|Water|Irrigation|Electricity"
"335","Final Energy|Water|Municipal"
"336","Final Energy|Water|Municipal|Electricity"
"337","Forcing"
"338","GDP|MER"
"339","GDP|PPP"
"340","GDP|KRW"
"341","Investment|Energy Supply|CO2 Transport and Storage"
"342","Investment|Energy Supply|Electricity"
"343","Investment|Energy Supply|Electricity|Biomass"
"344","Investment|Energy Supply|Electricity|Biomass|w/ CCS"
"345","Investment|Energy Supply|Electricity|Biomass|w/o CCS"
"346","Investment|Energy Supply|Electricity|Coal"
"347","Investment|Energy Supply|Electricity|Coal|w/ CCS"
"348","Investment|Energy Supply|Electricity|Coal|w/o CCS"
"349","Investment|Energy Supply|Electricity|Gas"
"350","Investment|Energy Supply|Electricity|Gas|w/ CCS"
"351","Investment|Energy Supply|Electricity|Gas|w/o CCS"
"352","Investment|Energy Supply|Electricity|Geothermal"
"353","Investment|Energy Supply|Electricity|Hydro"
"354","Investment|Energy Supply|Electricity|Non-Biomass Renewables"
"355","Investment|Energy Supply|Electricity|Nuclear"
"356","Investment|Energy Supply|Electricity|Oil"
"357","Investment|Energy Supply|Electricity|Oil|w/ CCS"
"358","Investment|Energy Supply|Electricity|Oil|w/o CCS"
"359","Investment|Energy Supply|Electricity|Solar"
"360","Investment|Energy Supply|Electricity|Transmission and Distribution"
"361","Investment|Energy Supply|Electricity|Wind"
"362","Investment|Energy Supply|Extraction|Coal"
"363","Investment|Energy Supply|Extraction|Fossil"
"364","Investment|Energy Supply|Extraction|Gas"
"365","Investment|Energy Supply|Extraction|Oil"
"366","Land Cover"
"367","Land Cover|Built-up Area"
"368","Land Cover|Cropland"
"369","Land Cover|Cropland|Energy Crops"
"370","Land Cover|Forest"
"371","Land Cover|Forest|Managed"
"372","Land Cover|Forest|Natural Forest"
"373","Land Cover|Other Land"
"374","Land Cover|Pasture"
"375","Population"
"376","Price|Agriculture|Corn|Index"
"377","Price|Agriculture|Soybean|Index"
"378","Price|Agriculture|Wheat|Index"
"379","Price|Carbon"
"380","Price|Carbon|Demand|Industry"
"381","Price|Carbon|Demand|Building"
"382","Price|Carbon|Demand|Transportation"
"383","Price|Carbon|Supply"
"384","Primary Energy"
"385","Primary Energy|Biomass"
"386","Primary Energy|Biomass|1st Generation"
"387","Primary Energy|Biomass|Modern"
"388","Primary Energy|Coal"
"389","Primary Energy|Coal|w/ CCS"
"390","Primary Energy|Coal|w/o CCS"
"391","Primary Energy|Fossil"
"392","Primary Energy|Fossil|w/ CCS"
"393","Primary Energy|Fossil|w/o CCS"
"394","Primary Energy|Gas"
"395","Primary Energy|Gas|w/ CCS"
"396","Primary Energy|Gas|w/o CCS"
"397","Primary Energy|Non-Biomass Renewables"
"398","Primary Energy|Non-Biomass Renewables|Geothermal"
"399","Primary Energy|Non-Biomass Renewables|Hydro"
"400","Primary Energy|Non-Biomass Renewables|Solar"
"401","Primary Energy|Non-Biomass Renewables|Wind"
"402","Primary Energy|Nuclear"
"403","Primary Energy|Oil"
"404","Primary Energy|Oil|w/ CCS"
"405","Primary Energy|Oil|w/o CCS"
"406","Primary Energy|Secondary Energy Trade"
"407","Production|Cement"
"408","Production|Non-ferrous metals"
"409","Production|Steel"
"410","Revenue|Government|Tax|Carbon"
"411","Revenue|Government|Tax|Carbon|Demand|Buildings"
"412","Revenue|Government|Tax|Carbon|Demand|Industry"
"413","Revenue|Government|Tax|Carbon|Demand|Transport"
"414","Revenue|Government|Tax|Carbon|Supply"
"415","Secondary Energy"
"416","Secondary Energy|Electricity"
"417","Secondary Energy|Electricity|Biomass"
"418","Secondary Energy|Electricity|Biomass|w/ CCS"
"419","Secondary Energy|Electricity|Biomass|w/o CCS"
"420","Secondary Energy|Electricity|Coal"
"421","Secondary Energy|Electricity|Coal|w/ CCS"
"422","Secondary Energy|Electricity|Coal|w/o CCS"
"423","Secondary Energy|Electricity|Gas"
"424","Secondary Energy|Electricity|Gas|w/ CCS"
"425","Secondary Energy|Electricity|Gas|w/o CCS"
"426","Secondary Energy|Electricity|Geothermal"
"427","Secondary Energy|Electricity|Hydro"
"428","Secondary Energy|Electricity|Non-Biomass Renewables"
"429","Secondary Energy|Electricity|Nuclear"
"430","Secondary Energy|Electricity|Oil"
"431","Secondary Energy|Electricity|Oil|w/o CCS"
"432","Secondary Energy|Electricity|Solar"
"433","Secondary Energy|Electricity|Solar|CSP"
"434","Secondary Energy|Electricity|Solar|PV"
"435","Secondary Energy|Electricity|Wind"
"436","Secondary Energy|Electricity|Wind|Offshore"
"437","Secondary Energy|Electricity|Wind|Onshore"
"438","Secondary Energy|Gases"
"439","Secondary Energy|Gases|Biomass"
"440","Secondary Energy|Gases|Coal"
"441","Secondary Energy|Gases|Natural Gas"
"442","Secondary Energy|Hydrogen"
"443","Secondary Energy|Hydrogen|Biomass"
"444","Secondary Energy|Hydrogen|Biomass|w/ CCS"
"445","Secondary Energy|Hydrogen|Biomass|w/o CCS"
"446","Secondary Energy|Hydrogen|Coal"
"447","Secondary Energy|Hydrogen|Coal|w/ CCS"
"448","Secondary Energy|Hydrogen|Electricity"
"449","Secondary Energy|Hydrogen|Fossil"
"450","Secondary Energy|Hydrogen|Fossil|w/ CCS"
"451","Secondary Energy|Hydrogen|Fossil|w/o CCS"
"452","Secondary Energy|Hydrogen|Gas"
"453","Secondary Energy|Hydrogen|Gas|w/ CCS"
"454","Secondary Energy|Hydrogen|Gas|w/o CCS"
"455","Secondary Energy|Liquids"
"456","Secondary Energy|Liquids|Biomass"
"457","Secondary Energy|Liquids|Biomass|w/ CCS"
"458","Secondary Energy|Liquids|Biomass|w/o CCS"
"459","Secondary Energy|Liquids|Coal"
"460","Secondary Energy|Liquids|Coal|w/ CCS"
"461","Secondary Energy|Liquids|Coal|w/o CCS"
"462","Secondary Energy|Liquids|Fossil"
"463","Secondary Energy|Liquids|Fossil|w/ CCS"
"464","Secondary Energy|Liquids|Fossil|w/o CCS"
"465","Secondary Energy|Liquids|Gas"
"466","Secondary Energy|Liquids|Oil"
"467","Secondary Energy|Solids"
"468","Secondary Energy|Solids|Biomass"
"469","Secondary Energy|Solids|Coal"
"470","Temperature|Global Mean"
"471","Trade|Primary Energy|Coal|Volume"
"472","Trade|Primary Energy|Gas|Volume"
"473","Trade|Primary Energy|Oil|Volume"
